Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Grant Williams,CHA,25,36,16,20,28.3,9.7,3.3,7.9,42.1,1.5,4.5,33.7,1.5,1.9,77.1,1.2,2.8,3.9,2,1.5,0.6,0.7,2.8,19.7,1,0,-4.1
Gordon Hayward,OKC,34,25,10,15,22.9,9.6,3.6,8,44.8,0.6,1.7,37.2,1.7,2.3,75.4,0.8,2.3,3,3,1.2,0.6,0.3,1.1,19.1,0,0,-5.7
Alex Caruso,CHI,30,34,17,17,28.8,9.5,3.5,7.5,46.7,1.8,4.7,38.4,0.7,0.9,80.6,0.7,2.9,3.6,3.7,1.3,1.8,1,2.7,26.7,0,0,-0.3
Talen Horton-Tucker,UTA,23,26,3,23,18.8,9.5,3.2,8.9,35.3,0.8,3.2,26.8,2.3,2.9,80,0.5,1.8,2.4,3,1.2,0.8,0.3,1.7,18.9,1,0,-3.6
Tre Jones,SAS,24,40,10,30,26.4,9.2,3.6,7.3,50,0.7,2.3,29.7,1.3,1.5,86.2,0.6,3,3.6,6.2,1.6,1.1,0.1,1.1,24.9,3,1,-1.4
Brandin Podziemski,GSW,21,35,21,14,27,9.2,3.8,8.3,45.4,0.9,2.7,33.3,0.7,1,69.4,1.7,3.9,5.6,3.8,1.1,1.1,0.2,1.9,24.3,5,0,5.5
Jalen Smith,IND,24,27,14,13,16.6,9.1,3.6,6.4,56.4,0.9,2.2,40,1.1,1.6,65.9,1.7,3.6,5.3,0.9,0.6,0.3,0.6,1.6,18.9,1,0,-2.9
Dereck Lively II,DAL,20,29,19,10,22.1,9.1,4.1,5.4,76.9,0,0.1,0,0.9,1.5,58.1,2.1,5,7.1,1.2,0.8,0.8,1.1,2.5,24.4,5,0,3.2
Sam Hauser,BOS,26,40,27,13,21.4,9.1,3.2,6.8,47.1,2.6,5.9,43.6,0.1,0.1,100,0.6,2.7,3.3,0.9,0.4,0.6,0.4,1.2,16.9,0,0,3.4
Kevin Love,MIA,35,27,16,11,16.1,9.1,3,6.3,48.2,1.4,4.1,34.2,1.6,2.2,72.9,1.1,4.6,5.8,1.7,0.9,0.2,0.2,1.7,18.9,2,0,2.4
Kentavious Caldwell-Pope,DEN,31,38,22,16,31.5,9.1,3.3,7.8,41.6,1.3,3.7,35.2,1.2,1.4,86.8,0.5,2.1,2.6,2.3,1,1.4,0.6,1.8,20.8,0,0,5
Bilal Coulibaly,WAS,19,34,7,27,28.6,9,3.1,7.5,41.4,1.2,3.3,36.3,1.6,2.4,65.9,1,3.6,4.5,1.9,1.2,1.1,0.8,2.4,21.8,1,0,-5.6
Marcus Sasser,DET,23,37,5,32,19.8,9,3.2,7.7,42.3,1.3,3.5,38.3,1.2,1.4,84.3,0.2,1.6,1.8,3.5,1.3,0.7,0.2,1.4,17.7,1,0,-2.8
Isaac Okoro,CLE,23,32,18,14,27.2,9,3.3,6.8,47.5,1,3.1,33.3,1.4,2,71.9,0.6,1.9,2.6,1.8,0.9,0.9,0.5,2.4,18.1,0,0,-0.9
Duop Reath,POR,27,35,8,27,18.6,8.9,3.4,7.2,47.2,1.3,3.7,35.7,0.8,1.3,64.4,1.1,2.4,3.5,1.2,0.8,0.5,0.6,2.4,17.5,1,0,-4.6
Draymond Green,GSW,34,31,21,10,27,8.9,3.5,6.7,52.2,0.9,2.3,41.4,1,1.5,71.1,1.2,6,7.2,5.9,2.5,0.9,0.8,3.1,28.9,5,0,3.2
Kelly Olynyk,TOR,33,38,12,26,22.3,8.9,3.3,6.1,55,0.8,2.1,37.5,1.4,1.9,76.4,1.1,3.9,5.1,4.4,1.9,0.8,0.3,2.9,22.9,1,0,-5.2
Andrew Nembhard,IND,24,34,18,16,25.2,8.8,3.5,7.5,47.1,0.8,2.5,32.6,0.9,1.1,79.5,0.4,1.6,1.9,4.2,1.4,0.9,0.1,2.1,19,0,0,-1.7
Taylor Hendricks,UTA,20,18,4,14,23.8,8.8,3.2,6.6,48.3,1.6,3.7,42.4,0.9,1.1,84.2,1.4,3.4,4.9,0.8,0.9,0.7,0.7,1.9,19.1,0,0,-7.9
Chris Paul,GSW,38,29,18,11,25.1,8.7,3.4,8.1,42.4,1.1,3.4,33,0.7,0.8,83.3,0.3,3.6,3.9,5.9,1.3,1.3,0.1,1.8,24.9,2,0,2.3
Terance Mann,LAC,27,37,25,12,25.6,8.6,3.4,6.7,49.8,1,2.9,34.9,0.9,1.2,81.4,1.3,2.4,3.7,1.6,0.7,0.6,0.2,2,16.9,2,0,2.3
Nickeil Alexander-Walker,MIN,25,41,26,15,23.9,8.6,3,6.4,47.5,1.7,3.9,43.4,0.9,1,81.4,0.5,1.6,2.1,2.6,0.9,0.7,0.4,1.8,17.5,0,0,3.1
Josh Richardson,MIA,30,19,12,7,26.3,8.6,3.1,8.5,36,1.3,4.6,28.4,1.2,1.2,100,0.5,2.5,3,2.6,0.9,0.6,0.5,1.7,18.5,0,0,-3.3
Jaylen Nowell,DET,24,8,2,6,19,8.6,3.6,7.5,48.3,0.5,2.5,20,0.9,1.1,77.8,0.5,1.6,2.1,1.4,0.6,0.5,0.3,1.3,14.9,0,0,-4.1
Kevin Knox II,DET,24,14,1,13,19.9,8.6,3.3,7,46.9,1.2,3.6,34,0.8,0.9,84.6,0.8,1.8,2.6,0.6,0.6,0.5,0.2,1.6,14.2,1,0,-2.3
Josh Green,DAL,23,27,15,12,25.8,8.6,3.2,6.5,48.9,1.4,3.4,41.8,0.8,0.9,84,0.7,2.1,2.8,2.1,0.8,0.7,0,1.6,16.7,0,0,-2.4
Brice Sensabaugh,UTA,20,13,2,11,20.7,8.5,3,7.7,39,1.1,4.1,26.4,1.5,1.8,82.6,0.5,2.6,3.1,1.7,2.3,0.7,0.5,1.5,15.9,0,0,-8.2
Gradey Dick,TOR,20,30,8,22,20.9,8.5,3.2,7.5,43.1,1.5,3.9,38.1,0.6,0.7,85,0.4,2,2.4,1.3,0.8,0.6,0,1.2,14.5,0,0,-5.4
Al Horford,BOS,37,33,23,10,27.4,8.5,3.3,6.6,49.8,1.6,4,40.5,0.4,0.4,85.7,1.3,5,6.3,2.6,0.7,0.5,1,1.5,23.5,2,0,2.7
Markelle Fultz,ORL,25,20,8,12,22.9,8.5,4,8.3,47.9,0.1,0.5,10,0.6,0.8,73.3,1.1,2.1,3.2,2.9,1.2,0.9,0.5,1.6,19.5,0,0,-2.8
Tristan Vukcevic,WAS,21,2,1,1,16.2,8.5,3,7.5,40,1.5,4.5,33.3,1,1,100,1.5,4.5,6,2,1.5,0,1.5,3,21.7,0,0,0
Walker Kessler,UTA,22,30,8,22,24.2,8.5,3.7,5.8,63.8,0.1,0.4,25,1,1.6,63.8,2.8,4.7,7.5,0.9,1,0.5,2.4,1.9,26.5,4,0,-5
Jabari Walker,POR,21,36,9,27,24.3,8.3,3.1,7.1,43.4,0.5,2.1,22.4,1.7,2.2,78.2,2,5.5,7.5,1.1,1.1,0.6,0.3,2.5,20.4,7,0,-5.4
Georges Niang,CLE,30,41,22,19,22.1,8.3,3.1,7,43.8,1.5,4.1,36.1,0.7,0.8,84.8,0.3,3.2,3.5,1.1,0.9,0.4,0.2,2.2,14.9,0,0,-2.4
Isaiah Joe,OKC,24,40,24,16,18.8,8.3,2.8,6.3,44.8,2,4.7,41.5,0.7,0.8,84.4,0.5,1.9,2.4,1.3,0.6,0.7,0.3,1,15.4,0,0,2.9
Kyle Lowry,PHI,38,33,15,18,28.3,8.2,2.8,6.9,40.1,1.8,4.7,37.7,1,1.2,84.2,0.6,2.6,3.2,4.3,1.5,0.9,0.3,2.4,20.8,2,0,-1.7
